text,label
"Government confirms new public health guidelines after expert review and official press briefing.",Real
"Scientists publish peer reviewed climate research with verified satellite data and open methodology.",Real
"Local school board announces budget details in a scheduled public meeting.",Real
"Election commission releases audited voting numbers through its official website.",Real
"Hospital administrators report new patient care policy after state approval.",Real
"Central bank issues interest rate decision following monthly economic review.",Real
"City council approves road repair contract after public tender process.",Real
"University researchers discover promising battery material and publish findings in a journal.",Real
"Police department releases verified update about traffic restrictions during festival week.",Real
"Weather agency warns residents about heavy rain using official forecast models.",Real
"Ministry publishes annual education report with data from all registered districts.",Real
"Court releases written judgment after public hearing and official case review.",Real
"Health department opens vaccination centers according to a published schedule.",Real
"Transport authority announces new train timings through verified public channels.",Real
"Company reports quarterly earnings in a filing submitted to the stock exchange.",Real
"Researchers confirm water quality results after laboratory testing and peer review.",Real
"Municipal officials share flood relief numbers during a public press conference.",Real
"Sports federation confirms tournament dates after approval from participating teams.",Real
"Space agency releases mission update with telemetry data and engineering notes.",Real
"Agriculture department issues crop advisory based on regional weather observations.",Real
"Celebrity doctor reveals miracle pill that cures every disease overnight without tests.",Fake
"Secret government group confirms aliens will replace world leaders next month.",Fake
"Viral message claims drinking hot water every hour prevents all infections instantly.",Fake
"Anonymous post says election results were changed by invisible satellite beams.",Fake
"Unverified blog reports famous actor bought an entire country in cash.",Fake
"Social media rumor claims banks will erase all savings accounts tomorrow.",Fake
"Fake screenshot says schools are permanently closed nationwide with no official source.",Fake
"Website claims one fruit can make people lose twenty kilograms in two days.",Fake
"Chain message warns phones will explode unless users forward it to ten friends.",Fake
"Unverified video claims scientists found a machine that controls every human thought.",Fake
"Anonymous viral post says the moon disappeared for one hour but media hid it.",Fake
"Message claims a secret code printed on currency predicts tomorrow lottery result.",Fake
"Unverified site says a household spice can replace surgery in every illness.",Fake
"Social media post claims all airports will close forever without official notice.",Fake
"Fake article says a minister banned sleep after reading a mysterious ancient note.",Fake
"Rumor claims a hidden app can make exam marks appear automatically overnight.",Fake
"Unverified video says ocean water turned into gold but authorities erased proof.",Fake
"Clickbait post claims a celebrity is alive on Mars after secret government travel.",Fake
"Forwarded message warns that opening a blue image will delete every bank account.",Fake
"Anonymous blog says scientists proved gravity stopped working in one city.",Fake
